strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge168,DSM,IPTG,x100,A1,COL1,a,fcs,1,exp4,26290,30000,50000,30,24773,560,8.853431018878474,24213,21049,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,7755,13294,25850000,44313333.333333336
Eldridge168,DSM,IPTG,x100,A2,COL1,b,fcs,1,exp4,50000,17830,50000,30,47654,1919,9.555659759840118,45735,41784,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,23381,18403,131132922.0415031,103213684.80089737
Eldridge168,DSM,IPTG,x100,A3,COL1,c,fcs,1,exp4,50000,24032,50000,30,47967,147,9.574918305050774,47820,43759,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,25558,18201,106349866.84420772,75736517.97603196
Eldridge168,DSM,IPTG,x100,B1,COL2,a,fcs,1,exp4,50000,28821,50000,30,46626,472,9.518286228864866,46154,42194,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,7682,34512,26654175.774608795,119746018.52815655
Eldridge168,DSM,IPTG,x100,B2,COL2,b,fcs,1,exp4,50000,23332,50000,30,47775,173,9.402548033618308,47602,43269,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,23587,19682,101092919.59540546,84356248.9285102
Eldridge168,DSM,IPTG,x100,B3,COL2,c,fcs,1,exp4,47501,30000,50000,30,44493,204,9.819741248483258,44289,40265,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,31243,9022,104143333.33333334,30073333.333333336
Eldridge168,DSM,IPTG,x100,C1,COL3,a,fcs,1,exp4,50000,28276,50000,30,46939,492,9.505393877977538,46447,42505,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,11628,30877,41123214.03310228,109198613.66529919
Eldridge168,DSM,IPTG,x100,C2,COL3,b,fcs,1,exp4,43822,30000,50000,30,41036,247,9.687180909000055,40789,37169,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,21970,15199,73233333.33333334,50663333.333333336
Eldridge168,DSM,IPTG,x100,C3,COL3,c,fcs,1,exp4,46011,30000,50000,30,43356,150,9.831543755759403,43206,39535,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,30689,8846,102296666.66666667,29486666.666666668
Eldridge168,DSM,IPTG,x100,D1,COL4,a,fcs,1,exp4,50000,28147,50000,30,46908,487,9.330675220195445,46421,41779,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,11150,30629,39613457.91736242,108817991.26016983
Eldridge168,DSM,IPTG,x100,D2,COL4,b,fcs,1,exp4,40722,30000,50000,30,37798,244,9.688130405445706,37554,34084,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,19329,14755,64430000,49183333.333333336
Eldridge168,DSM,IPTG,x100,D3,COL4,c,fcs,1,exp4,40493,30000,50000,30,37623,177,9.873625784672777,37446,34009,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,25403,8606,84676666.66666667,28686666.666666668
Eldridge168,DSM,IPTG,x100,E1,COL5,a,fcs,1,exp4,50000,25920,50000,30,46690,274,9.657608844528658,46416,42904,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,17974,24930,69344135.80246913,96180555.55555557
Eldridge168,DSM,IPTG,x100,E2,COL5,b,fcs,1,exp4,35801,30000,50000,30,33323,277,9.543485167185464,33046,30386,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,15246,15140,50820000,50466666.66666667
Eldridge168,DSM,IPTG,x100,E3,COL5,c,fcs,1,exp4,42023,30000,50000,30,39141,162,9.880451496037123,38979,35413,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,28388,7025,94626666.66666667,23416666.666666668
